article-name,article-link,About War?,Percentage of Yes
Ukraine war: Putin allows former prisoners to be conscripted,https://www.bbc.co.uk/news/world-europe-63517680,Yes,
Ukraine’s Nuclear Gamble,https://www.bbc.co.uk/programmes/m00187wz,No,
Locked Away: Ukraine’s Stolen Lives,https://www.bbc.co.uk/programmes/m0019w1c,No,
Resisting Russia: Ukraine's Shadow Army,https://www.bbc.co.uk/programmes/p0cptt0l,No,
Ukraine: Reporting from the Front Lines,https://www.bbc.co.uk/programmes/m00163f8,No,
Letter from Ukraine,https://www.bbc.co.uk/programmes/m0015hx4,No,
War in Ukraine,https://www.bbc.co.uk/programmes/p0bv8k8y,Yes,
Victims of Ukraine War Scammers,https://www.bbc.co.uk/programmes/m0016pc6,Yes,
Kevin McCarthy and Ukraine: Could US elections change the war?,https://www.bbc.co.uk/news/world-us-canada-63407089,Yes,
Ukraine conflict: appeal for warm clothing as winter sets in,https://www.bbc.co.uk/news/uk-england-somerset-63506278,Yes,50%
